Id;Label;Type of Name;Date of Birth;Date of Death;Bio;Places;Languages
skp000803;Arnoldus van Goor;namedPerson;1607;1669;;`Morsa'|Nijmegen;lat
skp000850;A. van Wachtendonck;namedPerson;0;0;;;fra
skp000890;Abraham van der Myl;namedPerson;1563;1637;;Vlissingen|Dordrecht|S.l.|null;lat
skp001013;A.E.J. de Vigier;namedPerson;0;0;;;lat
skp001252;Anthonis Studler van Zurck;namedPerson;1606;1666;"hr. van Bergen en Kennemerland|Merchant; lord of Bergen (from 1641)";Amsterdam|S.l.|Leiden|null|Muiden;fra|ned
skp001312;Aarnout van Beaumont;namedPerson;1605;1678;secretaris der staten van Holland;'s-Gravenhage|Hage|Leiden|Utrecht;ned|lat
skp001398;Abraham Bocstadius;namedPerson;1603;1653;;null|Hoorn|Bergen op Zoom;lat|grk
skp001399;Abraham Boddens;namedPerson;1638;1661;student van het Athenaeum Illustre;Leiden|null;lat
skp001422;Abraham Caspar de Wicquefort;namedPerson;1598;1682;deputy of the prince of Brandenburg at the French court|envoy of the king of Poland in The Hague|equiti aurato Amstelodami [=Abraham de Wicquefort (1598-1682);Den Haag|Parijs|Amsterdam|null|S.l.|Riga|Dorpat|[S.l.]|Constantinopel|[Muiden]|Luik;fra|lat
skp001448;Abraham Dominici;namedPerson;0;1635;;Amsterdam|S.l.|Leiden;lat
skp001498;Abraham Mirkinius;namedPerson;1616;1651;;Breda;lat
skp001579;Abraham de Bye;namedPerson;0;1644;;Diest;ned
skp001582;Abraham de Mory;namedPerson;1600;1645;;Den Haag|S.l.;fra|lat
skp001583;Abraham de Verwer;namedPerson;1585;1650;;S.l.|Amsterdam;
skp001623;Abrahamus Heidanus;namedPerson;1597;1678;;Leiden|Amsterdam|null|[S.l.];lat|fra
skp001653;"Académie des Sciences; Parijs";organization-group;0;0;;null|Londen;fra
skp001734;Adam van Lockhorst;namedPerson;1616;1699;Representative for Utrecht in the States-General;'s-Gravenhage|null;ned
skp001845;Adriaen Pauw;namedPerson;1585;1653;pensionaris van Amsterdam;Den Haag|'s-Gravenhage|Leiden|Drunen|null;ned|lat|fra
skp001872;Adriaan Duyk;namedPerson;1628;0;;S.l.;
skp001947;Adriaan van Bylandt;namedPerson;0;1646;heer van Well;Wachtendonk;ned
skp001956;Adriaan van Manmaker;namedPerson;1579;1632;;Middelburg|[S.l.]|'s-Gravenhage|S.l.|null|Leiden;fra|ned|lat
skp001987;Adriaan van der Mijle;namedPerson;1604;1665;;Wassenaar|Willemstad|[S.l.];ned|fra
skp001997;Adriaan Baeckx van Baerlandt;namedPerson;1574;0;President of the Collegium Collegium Trium Linguarum, Leuven;Oirschot|null;lat
skp002009;Adriaen Ploos van Amstel;namedPerson;1585;1639;heer van Tienhoven;Den Haag|null|'s-Gravenhage|Geijn|S.l.|Utrecht|Parijs;ned
skp002014;Adriaen van Utrecht;namedPerson;1599;1652;;;ned
skp002033;Adriana de Groot;namedPerson;1592;1639;;;ned
skp002041;Adrianale Thor;namedPerson;0;0;;Amsterdam;ned
skp002047;Adrianus Blyenburch;namedPerson;1589;1630;schepen van de stad Dordrecht;[S.l.]|null|Dordrecht|Poitiers|Poitou|Brielle|Utrecht|Leiden|Amsterdam|Den Haag|'s-Hertogenbosch|Londen|Langerak|Tiel|Muiden|Thouars;lat|ned|fra
skp002053;Adrianus Bubbenius;namedPerson;0;0;;;lat
skp002062;Adrianus Heereboord;namedPerson;1614;1661;;Leiden|null;lat|ned
skp002076;Adrianus Romanus;namedPerson;0;0;;Rotterdam;
skp002101;Adriaen Rottermont;namedPerson;1579;1652;;;ned
skp002213;Aiguebere;namedPerson;0;0;;Parijs|Orleans|null|Sprang;fra
skp002234;Albertus Rusius;namedPerson;1614;1678;Professor of law, Amsterdam and Leiden;Amsterdam|null|Leiden;lat
skp002263;Albert Joachimi;namedPerson;1560;1654;Ambassador of the States General of the United Provinces|Dutch ambassador in London.|representative of the Netherlands;Londen|Bergen op Zoom|null|Noordgeest;ned|lat|fra
skp002270;Albert Kyper;namedPerson;1614;1655;Professor of medicine in Breda and, secondly, in Leiden;[S.l.];lat
skp002285;Albertina Agnes;namedPerson;1634;1696;prinses van Oranje, douairière van Nassau [=Albertine Agnes van Oranje-Nassau] (1634-1696);Leeuwarden|Oranjewoud|Oranienstein [etc.]|null|'s-Gravenhage|Oranjewout|Dietz|[S.l.];ned|fra
skp002329;Albrecht Bruiningh;namedPerson;0;1648;;Den Haag;ned
skp002431;Alexander Hoefnagel;namedPerson;0;1676;;Brussel|null;ned|fra
skp002447;Alexander Morus;namedPerson;1616;1670;;Leiden|Middelburg|Amsterdam|null|[S.l.]|Den Haag;lat|fra
skp002475;Alexander de Bie;namedPerson;1623;1690;"Dutch mathematiker; astronomer; professor in Amsterdam";S.l.|null;lat|ned
skp002480;Alexander van Fornenbergh;namedPerson;1600;1675;;Leuven|null;ned
skp002483;Alexander van Weuve;namedPerson;0;0;;;ned
skp002484;Alexander van der Capellen;namedPerson;1595;1656;Dutch member of the Council of State and the States-General|heer van Aartsbergen;;ned
skp002510;Alexandre Fabri;namedPerson;0;1674;;Den Haag;fra
skp002542;Alexandre Toussaint de Limojon de Saint Disdier;namedPerson;1630;1689;"French alchemist and diplomat; Secretary of the Embassy of France to Venice, 1672-77|Secretary of the Embassy of France to Venice, 1672-77";;fra
skp002571;Alfonso Antonio de Sarasa;namedPerson;1618;1667;;;lat
skp002594;Alida Bruno;namedPerson;1628;1679;;Alkmaar|null;ned
skp002688;Amalia van Oranje Nassau;namedPerson;1581;1657;echtgenote van Palts Landsberg;Den Haag;fra
skp002690;Amalia van Solms-Braunfels;namedPerson;1602;1675;[gravin van Solms-Braunfels] (1602-1675)|gemalin van Frederik Hendrik van Oranje-Nassau|gravin van Solms-Braunfels (1602-1675)|gravin van Solms-Braunfels (1602-1675), echtgenote van Frederik Hendrik, stadhouder|prinses van Oranje|prinses van Oranje [gravin van Solms-Braunfels] (1602-1675);[S.l.]|Den Haag|null|Vlissingen|[Geen plaats]|Z.p.|'s-Gravenhage|Oost-Eeklo|Parijs|Binche, kamp bij|Veere|Middelburg|`s-Gravenhage;fra
skp002700;Angélique Amat;namedPerson;0;0;daughter of Jacques Amat|Wife of André Choart, sieur de Buzenval;Den Haag;fra
skp002730;Amelis van den Bouchorst;namedPerson;0;1669;Heer van Wimmenum;Den Haag|[S.l.]|Voorburg;ned|fra
skp002809;Andreas Arnoldus;namedPerson;1646;1694;;Londen|S.l.|Parijs|null|Leiden|[S.l.];lat|fra
skp002817;Andreas Cellarius;namedPerson;1597;1665;;;ned
skp002819;Andreas Cnöffel;namedPerson;1605;1658;German physician;;lat
skp002821;Andreas Colvius;namedPerson;1594;1671;"I do not doubt this is the same Colvius. He came from Dordrecht, where Vossius was rector of the Latin School. RB; Possibly Andreas Colvius, Dutch poet and book collector; editor and translator (1594-1671), although he would have been just 20.; theologian";Dordrecht|null|Amsterdam|Den Haag|S.l.|Utrecht|Leiden;lat|fra|ita|ned
skp002868;Andreas Puteanus;namedPerson;0;0;;Leuven;lat
skp002869;Andreas Reusner;namedPerson;0;0;;;dui|ned
skp002875;Andreas Schottus;namedPerson;1552;1629;;Toledo|Antwerpen|null|S.l.|[S.l.]|Leiden|Keulen;lat
skp002879;Andreas Spole;namedPerson;1630;1699;Professor of mathematics, Uppsala;Upsala|Uppsala;lat
skp002930;André Champion de Chambonniere;namedPerson;0;1670;;[S.l.];fra
skp002959;André Rivet;namedPerson;1572;1651;'s-Gravenhage|French theologian at the University of Leiden (from 1620)|hoogleraar|Huguenot|predikant|theoloog;"""Au Camp""|Thouars|Leiden|null|'s-Gravenhage|S.l.|Breda|`s-Gravenhage|Arnhem|Londen|Saumur|Gouda|Den Haag|Parijs|Orange|""Gravia""|Middelburg|Franeker|Utrecht|[S.l.]|Drunen|Voorn|Lissa|Amsterdam|le Vau|le Maurier|Compiègne|Maurier|Fontainedangé|Fontainebleau|Heusden|Rambouillet|Dieppe|Charenton|Rouen|Taillebourg|Saintes|St.Jean d'Angely|Loze|Mauzé|Sedan|Villeloüet|La Trosniere|Rotterdam|Genéve|Auxerre|Tailly|Dijon|Bommoy|la Forest|La Forest sur Sayure|Grave|Alba Julia|l'Ile-Bouchard|La Rochelle|La Forest sur Sevre|Waalwijk|Maastricht|Bois-le-duc|Groningen|Calais|Genève|Autremancourt|Oxford|Londres|Cantorbéry|Gaillon|Tessel|Halebi in Syria|Bremen|Honselersdijk|Geertruidenberg|Breda, te velde bij|Lychnum|Rhynberck|Nijmegen|Gennep|Bergen op Zoom|Assenede|Te velde te Gent|Livorno|Pera|Gerlichuy|Constantinopel|Clots|Rocheplate|St.Jean|Nuckle|Breme|Angers|Venetië|Deventer|Buren|Berekloe|Wesel|Grosbois|Flessingues|Bois-le-Duc|Hulst|Rhimberg|Le Sas|Zelsate|Bassenvelde|Metz|L'Ecluse|Châtillon|Chastillon|Montpellier|Alez|Castres|Nimes|Condé sur Nereau|Recife|Ville-Maurice|Mauritia|Delft|St.Andeux|St. Andeux|Aunay|St. Maixent|Melle|Loudun|Colonge|Soignon|Poitiers|Bordeaux|Pobourne|Magdebourg|Vennes|L'Isle-Bouchard|Gyen|Jena|Hoorn|Geneve|Berlijn|Châtellerault|Flessingue|Cassovius|Basel|Leeuwarden|Dordrecht|Frankfurt|Pau|Zurich|Hannover|Hanover|Westminster|La Roche|Lyon|Vau|Niort|Etriche|Le Vau|Reimberg|Nîmes|Glasgow|Leerdam|St.Maixent|Prusse|Franckenthal|Rhenae|Enkhuizen|Briele|Monbrison|Montbrison|Veere|Oudewater|Hastings|Châtillon-sur Loire|Châtillon-sur-Loire|Lille|Danzig|Zutphen|Foullay|Saujon|Hamburg|Paulcon|Meudon|Embden|Chenevières|Antwerpen|Puyoger|Clairac|Marennes|Kisiele|Mouzon|Brême|Dulut|Thonneins|Aberdeen|Harderwijk|Bâle|Wittemberg|Soubize|Zürich|Cardif|Niftrick|Grenoble|Münster|Corse|Capelle-Goes|l'Ecluse|Prinselant|Neder-Langbroeck|Maestricht|Schiedam|Christianopel|Rouman|Dantzig|Cassel|Poitou|Chatillon|Durham|Turnhout";fra|lat|grk
skp003020;Anna Beeck;namedPerson;0;0;;;ned
skp003022;Anna Bergerotti;namedPerson;0;0;;Londen;fra
skp003027;Anna Catharina Bacx;namedPerson;0;0;second wife of William Dimmer (d.1637);;ned
skp003035;Anna Colve;namedPerson;1588;1657;;Geertruidenberg;fra
skp003050;Anna Genoveva de Huybert;namedPerson;0;0;;Den Haag;fra
skp003081;Anna Louise van Portugal;namedPerson;0;1669;;Philippine;fra
skp003104;Anna Maria van Schurman;namedPerson;1607;1678;German-Dutch painter, engraver, poet and scholar;Utrecht|[S.l.]|Wieuwert|null|S.l.|Haarlem|Amsterdam|Den Haag|Breda|Dordrecht|Leiden;fra|lat
skp003115;Anna Morgan;namedPerson;0;0;;Den Haag|[S.l.];fra
skp003125;Anna Roemersdr. Visscher;namedPerson;1584;1651;echtg. van D.Booth van Wezel|echtgenote van D. Booth van Wezel;S.l.|null|Muiden;ned
skp003143;Anna van den Boetzelaer;namedPerson;1661;1720;;[S.l.];fra
skp003145;Anna van Dorp;namedPerson;1628;1681;;"""Ter Toole""";ned
skp003148;Anna van Eyck;namedPerson;0;0;;;ned
skp003156;Anna van Maubus;namedPerson;0;0;Chatelaine of the castle of Breda;null|Den Haag;ned|fra
skp003158;Anna van Nassau;namedPerson;0;1673;weduwe van [François de] Ferrier;Breda;ned
skp003179;Anne De la Barre;namedPerson;1628;1688;French singer;[Parijs]|[S.l.];fra
skp003252;Antoine Vallot;namedPerson;1594;1671;Superintendent of the Jardin du roi;;fra
skp003278;Anthonie Crocq;namedPerson;0;0;"Cavalry officer; later colonel";Breda|null;ned
skp003283;Anthonie Heinsius;namedPerson;1641;1720;;Breda|Amsterdam|Den Haag|Parijs|Versailles|'s-Gravenhage|Leiden|Texel, 's lands schip 'de Vrijheijdt'|Londen|Rotterdam|Mellé, kamp bij|Hampton Court|Westminster|Kensington|Languen Candell (?), kamp bij|De Sable (?), kwartier bij|[S.l.]|Keulen|Brugelet|S.l.|Delft|null;fra|ned
skp003286;Anthonie van Hilten;namedPerson;0;1670;;Utrecht|Den Haag;fra
skp003290;Anthonis Jan Anthonis de Huybert;namedPerson;1583;1644;;Leiden|[S.l.]|'s-Gravenhage|Zierikzee|null;ned
skp003318;Anthony Oetgens van Waveren;namedPerson;1585;1658;deputy of the General-States|husband of Anna Spiegel (1582–1644)|Lord of Waveren and Botshol, Ruige Wilnis|member of Committed Councils of Holland in the Zuiderkwartier|member of Council of Amsterdam|son of Frans Hendricksz. Oetgens (1558–1625);null|Amsterdam;ned
skp003340;Antoine Arnauld;namedPerson;1612;1694;French Catholic theologian, philosopher, and mathematician;[S.l.]|null;lat|fra
skp003348;Antoine Boësset;namedPerson;1585;1643;Intendant of music at the French court;[S.l.];fra
skp003440;Antoine Menjot;namedPerson;1615;1696;Physician to Louis XIV;Den Haag|null;fra
skp003468;Antonius Schetz van Grobbendonck;namedPerson;1564;1641;baron van Grobbendoncq|graaf van Grobbendonck|heer van Grobbendoncq;Brussel|S.l.|'s-Gravenhage;fra
skp003492;Antoinette Bourignon;namedPerson;1616;1680;Flemish religious visionary|via Ewout [de Lindt] (ca. 1645-na 1682);Amsterdam|[S.l.]|Hamburg|S.l.|Holstein|Rijsel|Otterberg|Mechelen|Sleeswijk;fra
skp003588;Antonie;namedPerson;1607;1669;;null|Middelburg;ned
skp003592;Antonie van Leeuwenhoek;namedPerson;1632;1723;Dutch tradesman and scientist;Delft|null;ned|fra
skp003623;Antonio Marco Magliabechi;namedPerson;1633;1714;Italian scholar and bibliophile;Florence|Firenze|null|Livorno|[S.l.]|Den Haag|Rome|Utrecht|Padua|`s-Gravenhage;ita|lat
skp003641;Antonio Sousa d'Tavares;namedPerson;1598;1667;diplomaat|gezantschapssecretaris|Portugese lawyer;null|Gennep|[Oeffelt];spa
skp003667;Antonius Clementius;namedPerson;1633;1657;;[S.l.]|Zierikzee|Leiden|S.l.|null;lat
skp003672;Antonius Deusingius;namedPerson;1612;1666;;Leuwarden|Groningen|null;ned|lat
skp003721;Antonius Thysius;namedPerson;1603;1665;jr.|Legal scholar, historian, librarian and rhetorician;Leiden|null|Assenede;lat
skp003725;Antonius Walaeus;namedPerson;1573;1639;;Leiden|[S.l.]|S.l.|Middelburg|null;ned|lat
skp003760;Apollonius Schotte;namedPerson;1570;1639;;Middelburg|null|Leiden|[S.l.]|`s-Gravenhage;lat
skp003771;Archibald Hamilton;namedPerson;1580;1659;Church of Ireland Archbishop of Cashel and Emly|Date of death: 1658/9|professor of theology;null|S.l.|'s-Gravenhage;lat|fra
skp003789;Arend van Wassenaer van Duivenvoorde;namedPerson;1610;1681;"heer van Duivenvoorde, militair|Soldier; heer van Duivenvoorde";Den Haag|null;ned
skp003941;Arnoldus Cral;namedPerson;0;1656;;`Mija in Omlandia';lat
skp003969;Arnoldus Vinnius;namedPerson;1588;1657;Professor of Law, Leiden;Leiden|'s-Gravenhage|null|`s-Gravenhage;lat|ned
skp003987;Arnout Leers;namedPerson;1643;1701;Printer, bookseller, in the Hague 1667-1699, and in Rotterdam 1683-1701 and 1702;null|Rotterdam|Amsterdam;ned|fra
skp004035;Athanasius Kircher;namedPerson;1602;1680;German Jesuit scholar;null|Rome;
skp004045;Aubertus Miraeus;namedPerson;1573;1640;lijfarts van aartshertog Albrecht van Oostenrijk;Antwerpen|Brussel|null|Leuven|Utrecht;lat
skp004280;Axel Oxenstierna;namedPerson;1583;1654;Chancellor of Sweden, 1612–54|Count of Södermöre|kanselier van Zweden;Karelstadt|Mainz|Dieppe|Stockholm|Bergen|null|Wirsma;fra|lat|ned
skp004576;Bagge Wandel;namedPerson;1622;1683;Danish mathematician and cartographer;Arendal;
skp004577;C. Bagghaert;namedPerson;0;0;;;fra
skp004607;Baltasar Adriaansz;namedPerson;0;0;;Nieuwe Niedorp;
skp004609;Balthasar Conradus;namedPerson;1599;1660;;;lat
skp004618;Balthasar Bekker;namedPerson;1634;1698;Dutch pastor and theologian;null|Franeker|Haren;ned|lat
skp004625;Balthasar Gerbier;namedPerson;1592;1663;baron van Kensington en graaf van Holland)] / Balthasar Gerbier;Den Haag|Parijs;fra
skp004666;Barbara de Brimeu;namedPerson;0;0;Wife of Daniel de Calvart;Bergen;fra
skp004689;Barent Coenders van Helpen;namedPerson;1601;1678;;Den Haag|S.l.|null|`s-Gravenhage;ned|lat
skp004699;Gidéon van den Boetzelaer;namedPerson;1569;1634;Baron van Langheraek|hr. van Langerak|Sir Theodore de Mayerne's brother-in-law;Parijs|[S.l.]|null|Firenze|S.l.|Amsterdam|'s-Gravenhage;ned|fra|lat
skp004779;Barthold van Gendt;namedPerson;0;1650;;Bommel|Amsterdam|Nijmegen;fra
skp004781;Bartholdus Nihusius;namedPerson;1589;1657;;Amsterdam|Haarlem|Regensburg|S.l.|null;lat
skp004810;Bartholomeus van Wouw;namedPerson;1597;0;;null|'s-Gravenhage|`s-Gravenhage|Stockholm;ned|fra|lat
skp004927;Benard;namedPerson;0;0;;Den Haag;fra
skp004949;Benedictus Skytte;namedPerson;1614;1683;;Amsterdam|S.l.;
skp004957;Benedictus de Spinoza;namedPerson;1632;1677;;'s-Gravenhage|Voorburg;ned|lat
skp004960;Benedictus van Kessel;namedPerson;0;1661;;null|Hulst;lat
skp004970;Benjamin Aubery Du Maurier;namedPerson;1566;1636;diplomaat|French ambassador to The Hague|heer|heer van Maurier;S.l.|'s-Gravenhage|Den Haag|Maurier|La Fontaine Dangé|`s-Gravenhage|null|le Vau|le Maurier|Compiègne|Parijs|Fontainedangé|Fontainebleau|Heusden|Sprang|Leiden|[S.l.]|Rotterdam;fra|lat
skp004978;Benjamin Jonson;namedPerson;1572;1637;;[S.l.];lat
skp004990;Benjamin von Siegen;namedPerson;0;0;;Fort Prins Willem (Brazilië);fra
skp005044;Bernhard Damcke;namedPerson;1613;1656;;`Aureliis Ligeinis';lat
skp005051;Bernard Frenicle de Bessy;namedPerson;1606;1675;;;fra|lat
skp005135;Bernardus Pandelaert;namedPerson;0;1653;;;lat
skp005190;Bernhard von Saksen-Weimar;namedPerson;1604;1639;;[S.l.];lat
skp005204;Bernhardus Fullenius;namedPerson;1640;1707;;Franeker|null;lat|ned
skp005295;Blaise Pascal;namedPerson;1623;1662;French mathematician, physicist, and philosopher;;fra
skp005309;Blisson;namedPerson;0;0;;[S.l.];fra
skp005358;Bonaventura Vulcanius;namedPerson;1538;1614;son of Pieter de Smet (Petrus Vulcanius);"[S.l.]|[Bazel]|Bazel|Keulen|[Antwerpen]|Leiden|Frankfurt|Genève|[Genève]|null|[Keulen]|Keulen [etc.]|[Leiden]|S.l.|Basel|s.l|Leuven|'Augusti'|Leiden [?]|Den Haag|Bremen|Zürich|Heidelberg|Toledo|'s-Gravenhage|Antwerpen [etc.]|Souburg|Antwerpen|Utrecht|Ingolstad|Augsburg|Erricopolis [?]|Amsterdam|Den Briel|Delft|Dordrecht|""Veria""|Brussel|[Vlissingen]|Elbing (Pruisen)|""Rotomayi""|Middelburg|Londen|Danzig|Madrid|""E schola nostra""|Cambridge|Helmstadt|Padova|Parijs|Gouda|Londen ; Cambridge|'Aurehamis'|Nijmegen [etc.]|'Aureliis'|Vlissingen|Leeuwarden|'Augustae'|Bern|Lausanne|'Leodii Eburonum'|Neurenberg|Frankfurt am Main|Tübingen|Annecy|Bratislava [etc.]|'Aurelii'|Utrecht [etc.]|Genève [etc.]|Franeker|Frankfurt [etc.]|Metz|Wenen|Biel|Padova [etc.]";lat|grk|fra|dui|ita|ned|spa
skp005366;Bonifacius Cau;namedPerson;1594;1661;Bailiff of Vlissingen;Vlissingen;
skp005379;Pieter Christiaansz Bor;namedPerson;1559;1635;;Leiden|null|'s-Gravenhage|S.l.;ned
skp005414;Boudewijn de Witte;namedPerson;1579;1641;Pensionary of Zeeland;Middelburg;
skp005563;Burchardus de Volder;namedPerson;1643;1709;;null|Leiden|S.l.;lat|ned|fra
skp005670;Béatrice de Cusance;namedPerson;1614;1663;;[S.l.]|Brussel|Den Haag;fra
skp005759;Christian Cassius;namedPerson;1609;1676;;Enthini|Udine|`Euthini';lat
skp005861;Charles Marin;namedPerson;0;1651;;;fra
skp005899;Cornelis van Pynacker;namedPerson;1570;1645;;Den Haag|Groningen|S.l.|null|Franeker|Leiden|Amsterdam;lat
skp005975;Conradus Vorstius;namedPerson;1569;1622;;null|Leiden|Steinfurt|Gouda|Schuttorf|S.l.|Bentheim|Schüttdorf|Heidelberg|Bremen|Bercau|'s-Gravenhage|Amsterdam|Vreeland|Groningen|Herborn;lat|dui
skp006004;Charles de Beauvais;namedPerson;1590;0;;null|Den Haag;fra
skp006077;Cornelis van Hogelande;namedPerson;1590;1662;;;ned
skp006167;C.B. de Petersdorf;namedPerson;0;0;;null|Assenede;fra
skp006237;C.F. Peletier;namedPerson;0;0;;Den Haag;fra
skp006490;Camerarius;namedPerson;0;0;;Den Haag;fra
skp006655;Carl Rabenhaubt;namedPerson;1602;1675;;[S.l.];fra
skp006710;Carlo Roberto Dati;namedPerson;1619;1676;Italian philologist;Florence|null|Den Haag|Holm|S.l.|'s-Gravenhage;ita|lat
skp006847;Caspar Barlaeus;namedPerson;1584;1648;dichter|geleerde|grandson of James Barlaeus (fl. 1600-02)|letterkundige|nephew of Elia Erdewyns (Eerdewys) (fl. 1600)|Professor of philosophy and rhetoric, Amsterdam Athenaeum;null|Amsterdam|S.l.|Leiden|[S.l.]|'s-Gravenhage|Den Haag|Lingen|Harderwijk|Kamp bij Grol|Utrecht|Haarlem|Drunen|[Nederland]|Dordrecht|`s-Gravenhage|Zaltbommel|Harlingen|Franeker|Heusden|Muiden|Sas van Gent|Leeuwarden;lat|ned|fra|ita
skp006863;Caspar Fagel;namedPerson;1634;1688;raadspensionaris van Holland;Den Haag|null|Frankfurt|leger voor Saint-Denis|Westminster|St. Denis, in 't leger tot|[S.l.]|Hampton Court|Nijmegen|Parijs|Constantinopel|Keulen|Kopenhagen|Madrid|Windsor|Elseneur;ned|fra|eng
skp006887;Caspar Streso;namedPerson;1603;1664;"German-Dutch reformed theologian; born (probably) in Güsten, Anhalt [this is where his father Adam Streso was a pastor from 1602]; preacher, Münster, 1637–38; preacher, The Hague; died in The Hague";Leiden|null;lat
skp006893;Caspar van Ulft;namedPerson;0;0;;Roermond;
skp006927;Casper van Kinschot;namedPerson;1622;1649;;null|Leiden|`s-Gravenhage|'s-Gravenhage|Rouen;fra|lat
skp006933;Castillejo;namedPerson;0;0;;[S.l.];fra
skp007030;Cesare Alessandro Scaglia;namedPerson;1592;1641;;Brussel|Antwerpen|Amsterdam|[S.l.]|Muiden;ita|fra
skp007034;Cesare Calandrini;namedPerson;1595;1665;;Londen|null|[S.l.];ita|fra
skp007070;Charles Morgan;namedPerson;1575;1642;governor of Bergen op Zoom (1633–);null|[S.l.]|Muiden;fra
skp007122;Chabrey;namedPerson;0;0;;Genève;
skp007193;Charles Bryas;namedPerson;1625;1686;"Religious writer; son of the governor of Mariembourg|son of the governor of Mariembourg";Rome;ita
skp007207;Charles Drelincourt;namedPerson;1633;1697;"Professor at the University of Leiden|Professor at the University of Leiden; physician to William III";Leiden|null|Den Haag;fra|lat
skp007235;Charles François De La Vieuville;namedPerson;0;1676;bisschop|bisschop van Rennes|de la Vieuville (-1676);Parijs|[S.l.];fra
skp007245;Charles Gerard Count Macclesfield;namedPerson;0;1694;;[S.l.];fra
skp007265;Charles Honoré d'Albert de Luynes;namedPerson;1646;1712;"duc de Chevreuse|Duc de Chevreuse; Duc de Chaulnes; French nobleman and Duke of Luynes; son-in-law of Colbert; husband of Jeanne Marie Colbert; grandson of Marie de Rohan";S.l.|Saint-Germain|null;fra
skp007272;Charles I van Groot-Brittannië;namedPerson;1600;1649;koning van Engeland;Londen|York;fra|eng
skp007383;Charles Perrault;namedPerson;1628;1703;"French writer; member of the Académie française; seventh child of Pierre Perrault and Paquette Le Clerc|member of the Académie française|seventh child of Pierre Perrault and Paquette Le Clerc";null|S.l.;fra
skp007472;Charles de Sainte-Maure;namedPerson;1610;1690;"duc de Montausier|governor to the Grand Dauphin; duc de Montausier|Parijs";St. Germain|null|Parijs|St. Germainen-Laye|S.l.|`s-Gravenhage|Utrecht;fra|lat
skp007480;Charles van Manmaker;namedPerson;0;1689;;null|Den Haag|Leiden;fra|lat
skp007519;Charlotte Stanley-de La Trémoille;namedPerson;1599;1664;Countess of Derby|daughter of Claude de La Trémoille ((1566-1604)|echtgenote van ... Stanley|wife of James Stanley, seventh Earl of Derby,;[S.l.];fra
skp007638;Christiaan Albert van Dohna;namedPerson;1621;1677;"Burgrave and Count of Dohna; captain-general in the army of Brandenburg";Den Haag;fra
skp007646;Christiaan Constantijn Rumpff;namedPerson;1628;1706;;Stockholm|[S.l.]|Uppsala|Upsala|Den Haag|S.l.|Zwolle|null;ned|fra|lat
skp007666;Christiaan Huygens;namedPerson;1551;1624;secretary to the Council of State;'s-Gravenhage|Den Haag|null|Wesel|Amsterdam|Londen|Arnhem|Middelburg|Leiden|Sluis|Rotterdam|Breda|IJsselstein|[S.l.]|Dordrecht|Dordrecht (?)|Brussel|Mechelen|Antwerpen|Utrecht|Praag|Alkmaar|Vlissingen|Grave|Zijpe|Leeuwarden|Cronenburg|Bergen op Zoom|Rijnberck|Loon|Aerne (?)|Venetië|Parijs|Bommel|S.l.|Z.p.|Heusden|Oyen|Kampen|Willemstad|Hoogwoud|IJsselsteijn|Alphen|Nijmegen|Groningen;ned|fra|lat
